country_code,year,eurostat_production,fao_production,eumofa_production,eurostat_value,fao_value,eumofa_value,ratio_es_fao,ratio_es_eumo,logdiff_es_fao,logdiff_es_eumo,flag_large_gap_fao,flag_large_gap_eumo,notes
DK,2018,36260,NA,810,21111776,NA,7706000,NA,44.76543209876543,10.498498062527567,3.8002300084121536,FALSE,TRUE,"FAO missing, Eurostat present"
DK,2019,44452,NA,767,133339345,NA,6134246,NA,57.95567144719687,10.702187730228152,4.05839799708048,FALSE,TRUE,"FAO missing, Eurostat present"
DK,2020,38552,NA,1442,116456597,NA,7381528,NA,26.73509015256588,10.55978919697525,3.2853096382013796,FALSE,TRUE,"FAO missing, Eurostat present"
DK,2021,34167,NA,1473,104003334,NA,11607429,NA,23.19551934826884,10.439044812521303,3.143309739772021,FALSE,TRUE,"FAO missing, Eurostat present"
DK,2022,31836,NA,3051,110376607,NA,15912028,NA,10.434611602753195,10.368384414413704,2.3448320220093564,FALSE,TRUE,"FAO missing, Eurostat present"
DK,2023,27426,NA,NA,100594720,NA,NA,NA,NA,10.219283208646708,10.219283208646708,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2018,0,NA,139,0,NA,872000,NA,0,0,-4.941642422609304,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2019,0,NA,134,0,NA,4175667,NA,0,0,-4.90527477843843,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2020,0,NA,219,0,NA,1339941,NA,0,0,-5.393627546352362,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2021,113,NA,137,465943,NA,860829,NA,0.8248175182481752,4.736198448394496,-0.1910552367627094,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2022,142,NA,123,625862,NA,1016344,NA,1.1544715447154472,4.962844630259907,0.1425630646548699,FALSE,FALSE,"FAO missing, Eurostat present"
EE,2023,180,NA,133,1014456,NA,1194970,NA,1.3533834586466165,5.198497031265826,0.30065723131491495,FALSE,FALSE,"FAO missing, Eurostat present"
EL,2018,4538,NA,404,16239151,NA,2782000,NA,11.232673267326733,8.420462002456466,2.416574935349927,FALSE,TRUE,"FAO missing, Eurostat present"
EL,2019,4106,NA,398,15481712,NA,2676520,NA,10.316582914572864,8.320448113956559,2.331486697066695,FALSE,TRUE,"FAO missing, Eurostat present"
EL,2020,4080,NA,398,14220957,NA,2617529,NA,10.251256281407036,8.314097335405807,2.325135918515943,FALSE,TRUE,"FAO missing, Eurostat present"
EL,2021,3822,NA,298,12330081,NA,2991065,NA,12.825503355704697,8.248790733696413,2.5483471603057266,FALSE,TRUE,"FAO missing, Eurostat present"
EL,2022,4409,NA,389,15611511,NA,2710407,NA,11.334190231362468,8.391629968440892,2.4254832293171997,FALSE,TRUE,"FAO missing, Eurostat present"
