"country_code","year","eurostat_production","fao_production","eumofa_production","eurostat_value","fao_value","eumofa_value","ratio_es_fao","ratio_es_eumo","logdiff_es_fao","logdiff_es_eumo","flag_large_gap_fao","flag_large_gap_eumo","notes"
"SI",2019,NA,1230,230,NA,5090588,559436,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SI",2020,NA,1169,324,NA,4758884,543050,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SI",2021,NA,1175,250,NA,5299821,643045,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SI",2022,NA,1022,222,NA,5611221,731407,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SI",2023,NA,832,215,NA,4549746,793390,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2018,NA,2224,1233,NA,5494052,2712000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2019,NA,2688,1739,NA,7191255,3993661,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2020,NA,2296,1466,NA,5616026,3351178,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2021,NA,2514,1140,NA,7185568,2619337,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2022,NA,2614,1631,NA,7863883,4181815,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SK",2023,NA,2768,1706,NA,9705317,4792320,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"UK",2018,NA,NA,3,NA,NA,48000,NA,NA,NA,NA,FALSE,FALSE,""
"UK",2019,NA,NA,240,NA,NA,4196318,NA,NA,NA,NA,FALSE,FALSE,""
